;ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
0;Afghanistan;6;0;;25,87;0;0;0;0;0;0;-1,550910021
1;Albania;3;9;33;7,14;0;0;0;0;1;0;-0,580512657
2;Algeria;5,5;2;35,3;6,48;1;0;0;0;0;0;-0,43465389
3;American Samoa;;;;;0;0;0;0;0;0;0,442990611
4;Andorra;1;;;25;0;0;0;0;0;0;1,30776669
5;Angola;5,5;-2;58,6;37,27;0;0;0;0;0;0;-1,292684239
6;Antigua and Barbuda;2,5;;;16,67;0;0;1;0;0;0;1,208213919
7;Argentina;2;8;48,8;39,76;0;1;0;0;0;0;-0,420792605
8;Armenia;5;5;30,2;8,4;0;0;0;0;0;0;-0,578210932
9;Aruba;;;;;0;0;1;0;0;0;1,255155646
10;Australia;1;10;35,2;29,65;0;0;0;0;0;0;1,979293042
11;Austria;1;10;29,1;26,64;0;0;0;0;0;0;1,903840928
12;Azerbaijan;5,5;-7;16,8;11,38;0;0;0;0;0;0;-1,026767241
13;Bahamas, The;1;;;25;0;0;1;0;0;0;1,36312198
14;Bahrain;5,5;-7;;13,75;1;0;0;0;0;0;0,368444796
15;Bangladesh;3,5;5;31;6,33;0;0;0;0;0;0;-1,218594654
16;Barbados;1;;;13,73;0;0;1;0;0;0;1,313811522
17;Belarus;6,5;-7;28,8;32,53;0;0;0;0;0;0;-0,76558629
18;Belgium;1;8;33;36,2;0;0;0;0;0;0;1,329839789
19;Belize;1,5;;59,6;11,11;0;0;1;0;0;0;-0,27378462
20;Benin;2;7;38,6;10,84;0;0;0;0;0;1;-0,608027701
21;Bermuda;;;;;0;0;1;0;0;0;1,30776669
22;Bhutan;4,5;3;;13,89;0;0;0;0;0;0;0,754890153
23;Bolivia;3;7;57,2;14,65;0;1;0;0;0;0;-0,585376005
24;Bosnia and Herzegovina;3,5;0;36,3;12,28;0;0;0;0;1;0;-0,289637641
25;Botswana;2,5;8;61;11,11;0;0;0;0;0;1;0,947725045
26;Brazil;2;8;55;9,43;0;1;0;0;0;0;-0,119536146
27;Brunei Darussalam;5,5;;;;0;0;0;1;0;0;0,44270502
28;Bulgaria;2;9;29,2;21,67;0;0;0;0;1;0;-0,0693627
29;Burkina Faso;4;0;39,6;15,32;0;0;0;0;0;1;-0,326493561
30;Burundi;4,5;6;33,3;31,74;0;0;0;0;0;1;-1,095801535
31;Cambodia;5,5;2;44,2;15,76;0;0;0;1;0;0;-1,151233479
32;Cameroon;6;-4;44,6;13,89;0;0;0;0;0;1;-1,000361727
33;Canada;1;10;32,6;24,94;0;0;0;0;0;0;1,942538676
34;Cape Verde;1;;50,4;18,06;0;0;0;0;0;1;0,622508172
35;Cayman Islands;;;;;0;0;1;0;0;0;1,158444139
36;Central African Republic;5;-1;43,6;10,48;0;0;0;0;0;1;-0,994799105
37;Chad;6,5;-2;39,8;5,16;0;0;0;0;0;1;-1,346880282
38;Channel Islands;;;;;0;0;0;0;0;0;
39;Chile;1;10;52;12,66;0;1;0;0;0;0;1,370524156
40;China;6,5;-7;41,5;21,33;0;0;0;1;0;0;-0,568752346
41;Colombia;3,5;7;58,5;9,7;0;1;0;0;0;0;-0,187605202
