Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corr_round,fh_status
17,Belarus,6.5,-7.0,28.8,32.53,0,0,0,0,0,0,-0.76558629,-0.77,not free
32,Cameroon,6.0,-4.0,44.6,13.89,0,0,0,0,0,1,-1.000361727,-1.0,not free
37,Chad,6.5,-2.0,39.8,5.16,0,0,0,0,0,1,-1.346880282,-1.35,not free
40,China,6.5,-7.0,41.5,21.33,0,0,0,1,0,0,-0.568752346,-0.57,not free
43,"Congo, Dem. Rep.",6.0,5.0,44.4,7.73,0,0,0,0,0,1,-1.428073695,-1.43,not free
88,"Iran, Islamic Rep.",6.0,-7.0,38.3,2.8,1,0,0,0,0,0,-0.600917259,-0.6,not free
105,Lao PDR,6.5,-7.0,32.6,25.22,0,0,0,1,0,0,-1.20605454,-1.21,not free
182,Swaziland,6.0,-9.0,50.7,22.11,0,0,0,0,0,1,-0.310528371,-0.31,not free
193,Tunisia,6.0,-4.0,40.8,19.93,1,0,0,0,0,0,0.005450608,0.01,not free
204,Uzbekistan,7.0,-9.0,36.7,16.36,0,0,0,0,0,0,-1.071778912,-1.07,not free
207,Vietnam,6.0,-7.0,37.8,25.76,0,0,0,1,0,0,-0.656128386,-0.66,not free
212,Zimbabwe,6.0,1.0,50.1,18.15,0,0,0,0,0,1,-1.382120887,-1.38,not free
